verseID,canon_order,book,chapter,startVerse,endVerse,verseText
GN1_1,002_001_001,GEN,1,1,1,Ca njàlbéen ga Yàlla sàkk na asamaan ak suuf. 
GN1_2,002_001_002,GEN,1,2,2,"Suuf nag daa maase woon te wéet, lëndëm muur ndox mu xóot mi, lale ca kaw, Noowug Yàlla di wër, tiim ndox mi. "
GN1_3,002_001_003,GEN,1,3,3,"Ba loolu amee Yàlla ne: Na leer nekk, leer daldi am. "
GN1_4,002_001_004,GEN,1,4,4,"Yàlla gis ne leer gi lu baax la, mu xàjjale leer ak lëndëm. "
GN1_5,002_001_005,GEN,1,5,5,"Yàlla tudde leer gi bëccëg, lëndëm gi guddi. Ngoon jot, suba dugg, muy bés ba jëkk. "
GN1_6,002_001_006,GEN,1,6,6,"Yàlla ne: Na aw dénd dox diggante ndox yi, ngir xàjjale leen, yii fii, yii fale. "
GN1_7,002_001_007,GEN,1,7,7,"Yàlla nag sàkk dénd wi, xàjjalee ko ndox yi féete dénd wi suuf ak yi ko féete kaw. Mu daldi nekk noona. "
GN1_8,002_001_008,GEN,1,8,8,"Yàlla tudde dénd wi asamaan. Ngoon jot, suba dugg, muy bésub ñaareel ba. "
GN1_9,002_001_009,GEN,1,9,9,"Yàlla ne: Na ndox, mi asamaan tiim, gëndoo benn bérab, ba joor gu wow feeñ. Mu daldi nekk noona. "
GN1_10,002_001_010,GEN,1,10,10,"Yàlla tudde joor gu wow gi suuf, ndox mi gëndoo, mu tudde ko géej. Yàlla gis ne baax na. "
GN1_11,002_001_011,GEN,1,11,11,"Yàlla ne: Na suuf sax ñax, muy gàncax gu ànd ak jiwoom, ak garab yuy meññ tey jur seeni jiwu, lu ci nekk ak wirgoom ci kaw suuf. Mu daldi nekk noona. "
GN1_12,002_001_012,GEN,1,12,12,"Suuf nag sax ñax, muy gàncax gu ànd ak wirgoy jiwoom, ak garab yuy meññ tey jur seeni wirgoy jiwu. Yàlla gis ne baax na. "
GN1_13,002_001_013,GEN,1,13,13,"Ngoon jot, suba dugg, muy bésub ñetteel ba. "
GN1_14,002_001_014,GEN,1,14,14,"Yàlla ne: Na am ay leer ci asamaan, ngir xàjjale guddi ak bëccëg, te doon ay tegtal, yuy ràññle jamono yi, tey takk bés yi ak at yi. "
GN1_15,002_001_015,GEN,1,15,15,"Nañu nekk ay leer ci asamaan si, di leeral suuf. Mu daldi nekk noona. "
GN1_16,002_001_016,GEN,1,16,16,"Yàlla sàkk ñaari leer yu mag, gi gëna mag yilif bëccëg, gi gëna ndaw yilif guddi; mu sàkk it biddiiw yi. "
GN1_17,002_001_017,GEN,1,17,17,"Yàlla nag teg leen ci asamaan, di ca leeral suuf, "
GN1_18,002_001_018,GEN,1,18,18,"ñuy yore guddi ak bëccëg, tey xàjjale lëndëm ak leer. Yàlla gis ne baax na. "
GN1_19,002_001_019,GEN,1,19,19,"Ngoon jot, suba dugg, muy bésub ñeenteel ba. "
GN1_20,002_001_020,GEN,1,20,20,"Ba loolu amee Yàlla ne: Na ndox fees ak ay ndiiraani xeeti bindeef, te ay picc tiim suuf, di naaw ci asamaan. "
GN1_21,002_001_021,GEN,1,21,21,"Ci biir loolu Yàlla bind rabi géej yu mag yi ak mboolem mbindeef muy féey tey ramm-rammi ci ndox mi, mu ci nekk ak wirgoom, teg ca lépp luy boroomi laaf, lu ci nekk ak wirgoom. Yàlla gis ne baax na. "
GN1_22,002_001_022,GEN,1,22,22,"Ba mu ko defee Yàlla barkeel leen, daldi ne: Giirleen te bare, ba fees ndoxi géej. Mu neeti: Na picc yi bare ci kaw suuf. "
GN1_23,002_001_023,GEN,1,23,23,"Ngoon jot, suba dugg, muy bésub juróomeel ba. "
GN1_24,002_001_024,GEN,1,24,24,"Yàlla ne: Na suuf génne ay bindeef, mu ci nekk ak wirgoom: ag jur, luy raam aki rabi àll, lu ci nekk ak wirgoom. Mu daldi nekk noona. "
GN1_25,002_001_025,GEN,1,25,25,"Yàlla dafa bind rabi àll yi, lu ci nekk ak wirgoom, jur gu ci nekk ak wirgoom, ak lépp luy raam ci kaw suuf, lu ci nekk ak wirgoom. Yàlla nag gis ne baax na. "
GN1_26,002_001_026,GEN,1,26,26,"Yàlla ne: Nanu bind nit ci sunu melokaan, mu nirook nun, te na yilif jëni géej ak picci asamaan ak jur gépp ak suuf sépp ak lépp lu ciy raam. "
