SourateID,Sourate,VerseID,Verse
1,UBBIKU GA,1,"Ci turu Yàlla, miy Yërëmaakoon, di Jaglewaakoon, laay tàmbalee."
1,UBBIKU GA,2,"Xeeti cant yépp ñeel na Yàlla, miy Boroom àddina si."
1,UBBIKU GA,3,"Yërëmaakoon bi, Jaglewaakoon bi,"
1,UBBIKU GA,4,"Di Boroom Bis-pénc ba."
1,UBBIKU GA,5,"Yaw [doŋŋ] la ñuy jaamu, te ci Yaw [doŋŋ] la ñuy sàkku ndimbal."
1,UBBIKU GA,6,"Gindi-ñu jëme ñu ca yoon wu jub xocc wa,"
1,UBBIKU GA,7,"yoonu ñi Nga xéewale, wuuteek ñi Nga mere, ak ñi réer."
2,NAG WA,1,"Alif, Laam, Miim."
2,NAG WA,2,"Téere bii amul sikk ci ne, ag juba ci nekk guy soxal way-ragal Yàlla yi."
2,NAG WA,3,"Ña gëm ci kumpa te di farlu ci julli te di joxe, ci li ñu leen xéewale."
2,NAG WA,4,"Ña gëm lañu wàcce ci yaw ak lañu wàcce woon mu jiitu woon te ñu amug wóolu ci dikkug Bis-pénc ba."
2,NAG WA,5,"Ñooñoo nekk ca njub ga tukkee ca seen Boroom, te ñoom ñoo texe."
2,NAG WA,6,"Ñi weddi, nga waar leen ak ñàkk leen waara yem ci ñoom : duñu mësa gëm."
2,NAG WA,7,"Yàlla fatt na seeni xol ak seeni nopp ; muuraay nekk na ca seeni gët ; mbugal mu metti danaleen dal."
2,NAG WA,8,"Amna ci nit ñi, ñu naan : " Gëm nañu Yàlla ak Bis-pénc ba ! " te gëmuñu dara."
2,NAG WA,9,"Dañuy jéema nax Yàlla ak way-gëm ñi; waaye naxuñu ludul seen bopp, te yëguñu ko."
2,NAG WA,10,"Jàngoroo nekk ci seeni xol gog sikki-sàkk ak ug naaféq, faf Yàlla yokk leen jàngoro. Mbugal mu metti danaleen dal ngir seenug weddi."
2,NAG WA,11,"Bu ñu leen waxee : " Buleen di yàq ci suuf si ", ñu ne : " ñun way-defar lañu ! ""
2,NAG WA,12,"Déedéet, ñoom ñooña ay yàq-kat lañu, te yëguñu ko."
2,NAG WA,13,"Bu ñu neleen : " Gëmleen ni nit ñi gëmee ", ñu tontu ne : " Ndax dañuy gëm ni dof yi di gëmee ? " Déedéet, ñoom ñooy diy dof, te xamuñu ko."
2,NAG WA,14,"Bu ñu dajeek way-gëm ña, ne : " Gëm nanu " ; waaye bu ñu wéetee ak seeni Séytaane, ne : " ñook yéena ànd ; ñun dañuy yejji rekk "."
2,NAG WA,15,"Yàllaa nga leen di yejji, di leen gëna yàggal ca seen mbeewte googu, ñuy deŋŋi-deŋŋi ak seen ngumbaag xol."
2,NAG WA,16,"Ñooña ñoo di ña jaay njub jënde ci réer, seen njaay mooma amul tono. Te it gindikuwuñu."
2,NAG WA,17,"Seen niróole mi ngi demee ni ku taal taalamn, ba janeer ba leeraale la ko wër, Yàlla fay leer ga, bàyyi leen cig lëndëm ba gisatuñu dara."
2,NAG WA,18,"Dañoo tëx, luu, gumba, ba duñu mëna dellusi cig njub."
2,NAG WA,19,"[Walla seen niróolee ngi deme ni] waame wu tukkee asamaan ànd ak lëndëm aki dënnu aki melax, ñu saañ seeni nopp ak seeni waaroom ngir baña dégg kàddu ya ngir ragal dee ;Yàlla Aji-peeg la yéefër ya."
2,NAG WA,20,"Melax ga xaw naa yuri seeni gët : saa su leen leeralee [yoon wa] ñu dox ca leer ga ;saa su lëndëmee ñu taxaw. Bu neexoon Yàlla mu tëxloo leen, gumbaloo leen, Yàlla amna kàttanu def lu ne."
2,NAG WA,21,"Yéen nit ñi ! Jaamuleen Boroom bi leen bind, yéen ak ñi leen jiitu, ndax ngeen ragal ko. [Fegu] ci mbugalam."
2,NAG WA,22,"Moom mi def suuf nekk laltaay ci yéen, asamaan si di seen téeg ; te mu wàcceel leen ndox mu jóge asamaan, génne ca ay meññeent yu mu leen wërsëgal, bu leen sàkkal Yàlla moroom te xam xéll."
2,NAG WA,23,"Bu ngeen amee sikki-sàkka ci lii ñu wàcce ci Suñu jaam bi, indileen saar wu mel ni moom [Alxuraan] te sax ñaanleen ndimbal ñi ngeen di jaamu ba jaamuwuleen Yàlla, ndegam dëgg la ci yéen."
2,NAG WA,24,"Bu ngeen ko deful, te du ngeen ko mëna def mukk, na ngeen ragal safara soo xam ne matt ma koy xamb nit la aki xeer, te way-weddi ya lañu koy xaaroo."
2,NAG WA,25,"Na nga bégal ña gëm tey jëf jëf yu sell, [xamal leen] ne am nañu àjjana joo xam ne ay dexa ngay daw ca suufam ; saa su ñu leen xéewalee ci ay meññeet, muy lañu leen wërsëgale, ñu naan: " Lii dey masoon nañu cee xéewlu ca bu jëkk ". Fekk dañu leena jox lu ko nurool; ñeel na leen it ca àjjana jooju ay jabar [ soxna] yuñu laabal [ci bépp ayib], te ñoom dañu fay béel."
2,NAG WA,26,"Yàlla du kersawu ci joxe misaal mu mu mëna doon : ci aw yoo walla ci lu ko ëpp ; ñi gëm ñoom xam nañu ne loolu mooy dëgg ; yéefër yi ñoom dañuy wax naan " Moo lan la Yàlla namm ci léeb wii ? ". Dana ca réeral ñu bari, Dana ca jubal it ñu bari ; waaye du ci réeral ñu dul saay-saay sa,"
2,NAG WA,27,"ñooy ña nga xam ne dañuy firi kóllareg Yàlla ginnaaw ba mu fasoo ba noppi te di dog la Yàlla digle ñu jokkale ko [ag mbokk]. Te ñiy yàq ci suuf si. Ñooña ñooy ña yàqule."
2,NAG WA,28,"Naka ngeen di weddee Yàlla te ngeen doonoon ñu dee, Mu dundal leen ? Danaleen rey ; danaleen dekkalaat ngeen dellu ca Moom."
2,NAG WA,29,"Moom moo leen sàkkal lépp lu nekk ci suuf si, daldi jublu ci asamaan si def ko mu nekk juróom-ñaari asamaan. Te moom nag lépp la xam."
2,NAG WA,30,"Fàttalikul ba sa Boroom waxee Malaaka ya, neleen: " Man dey damaa namma def ci suuf si ag kilifa[kuutaay]. Ñu toontu ne ko : " Moo ndax dangay def ci suuf si koo xam ne dafa ciy nekk di yàq, di tuuri dereet, te ñun ñu ngi lay sàbbaal, di la sant te di màggal sag sell ? " – Yàlla neleen : " Xam naa lu ngeen xamul ! "."
2,NAG WA,31,"Mu jàngal Aadama turi lenn lu ne, ba noppi won ko Malaaka ya, neleen : " Wax leen ma turi yëf yii, ndegam ñu dëggu ngeen ! "."
2,NAG WA,32,"– Malaaka ya ne ko : " Tuddu nañu sa sell gi ! Amunu benn xam-xam ludul loo ñu xamal. Ndax Yaw yaay ki xam, Yaay ki xereñ "."
2,NAG WA,33,"– Mu ne : " Aadama xamal-leen seeni tur ; " Ba mu leen xamalee seeni tur, Yàlla neleen : " Ndax dama leena waxuloon ne Man xam naa kumpag asamaan ak suuf si, te it xam naa xéll li ngeen feeñal ak li ngeen doon ñëbb ? ""
2,NAG WA,34,"[Fàttelikul] Ba ñu nee Maalaaka ya sujjóotleen ci Aadama, ñu sujjóot ba mu des Ibliis, dafa lànk rëy-rëylu daldi bokk ca way-weddi ya."
2,NAG WA,35,"Ñu wax ne ko : " Yaw Aadama dëkkal ci àjjana yaak sa soxna, ngeen di fa lekkee na mu leen neexee, ca fa mu leen soobee ; te bu leen jege garab gile : kon dey ngeen bokk ci way-tooñ ña "."
2,NAG WA,36,"Séytaane tarxiisloo na leen, génneleen fa ñu nekkoon. ñu neleen : " Wàccleen ; di noonuwante. Te itam dangeen am ci kaw suuf ay dëkkuwaay aki jumtukaay as ndiir "."
2,NAG WA,37,"Aadama jot na baat ya [baati tuub] bawoo ca Boroomam, Mu daldi ko jéggal, ndax Moom moo di Jéggalaakoon bi, di Jaglewaakoon bi."
2,NAG WA,38,"ñu neleen : " Wàccleen yéen ñépp ! Buleen dummóoyu njub gi jóge ci Man, ñi topp sama njub duñu am lu ñu ragal te duñu jàq [ëllëg] "."
2,NAG WA,39,"Ña weddi te fenloo Suñuy tegtal, ñoom ñooy dëkk Safara te ñoom dañu fay béel."
2,NAG WA,40,"Yéen [Bani-Israayiil] ñi sëtoo ci [Yanqóoba], fàt talikuleen Sama xéewal gi Ma léen xéewaloon. Nangeen matal Sama kóllare, kon Danaa matal seen gos. Buleen ragal kudul Man."
2,NAG WA,41,"Nangeen gëm li Ma wàcce, te muy dëggal li ngeen yore ; buleen doon ñi ko jëkka weddi. Buleen jaay samay laaya ak njëg gu néew. Te nangeen ma ragal Man doŋ."
2,NAG WA,42,"Buleen jaxase dëgg ak caaxaan, di nëbb dëgg te fekk ngeen xam ko xéll."
2,NAG WA,43,"Nangeen fonk julli, di joxe asaka, te di rukkoo ànd ak way-rukkoo ya. [Jullig mbooloo, di julli ci biir jàkka yi]."
2,NAG WA,44,"Moo ndax da ngeen di digal nit ñi li baax, fàtte seen bopp, te yéen jàng ngeen Téere ba ? Moo ndax dangeen dul xel-lu ?"
2,NAG WA,45,"Nangeen di dimbandikoo muñ ak Julli : loolu lu diis la ci ku bokkul ci way-ragal Yàlla ña,"
2,NAG WA,46,"ña nga xam ne daleena wóor ne danañu dajeek seen Boroom te ca Moom lañuy dellu."
2,NAG WA,47,"Yéen ñi sëtoo ci Yànqooba, fàttalikuleen Sama xéewal gi Ma leen xéewalee woon, te Man ma defaloon leen ngëneel ci kaw nit ñépp."
2,NAG WA,48,"Ragal-leen bis boo xam ne bakkan du fa jariñ dara beneen bakkan ; te duñu ko nangul rammu ; duñu ko nangul njote. Te deesuleen dimbali."
2,NAG WA,49,"[Fàttalikuleen], ba ñu leen musalee ci waa kër Firawna, tegoon nañu leen mbugal mu ñaaw : ñuy rendi seeni doom yu góor ya, di bàyyi ñu jigéen ña. Nekkoon na ci loolu nattu bu réy bu bawoo ca seen Boroom."
2,NAG WA,50,"[Fàttalikuleen], ba ñu leen xaralee géej ga ! Te Ma musal leen, labal gaa ñi [Firawna], ngeen na ca jàkk di leen gis."
2,NAG WA,51,"[Fàttalikuleen], ba ñu dëelanteek Muusaa ñeen-fukki guddi ! Te ngeen jaamu yëkk wa ginnaawam, ngeen di way-tooñ."
2,NAG WA,52,"Ginnaaw ga ñu baal leen, ndax ngeen gërëm [seen Boroom]."
2,NAG WA,53,"[Fàttalikuleen], ba ñu joxee Muusaa Téere ba ak Àtte yay téqale [dëgg ak fen] ndax ngeen gindiku."
2,NAG WA,54,"Ak ba Muusaa waxee aw nitam : " Samaw nit, yéen tooñ ngeen seen bopp ci li ngeen jaamu yëkk wa. Na ngeen baalu seen Boroom; te ngeen reyante yéen [ñi bokkoon ci moy Yàlla googu] : Looloo gën ci yéen ca seen Boroom " ! Kon mu jéggal leen ndax moom mooy Jéggalaakoon ba, di Jaglewaakoon ba !"
2,NAG WA,55,"Ak ba ngeen waxee ne : " Yaw Muusaa, duñu la gëm ba bañuy gis Yàlla ne jàkk ci Moom " ! Faf xaacu ga fàdd leen, ngeen di gis loolu."
2,NAG WA,56,"Topp ñu dekkal leen ginnaaw ba ngeen deewee, ndax Yàlla ngeen di sant [seen Boroom]."
2,NAG WA,57,"ñu keral leen aki niir, wàcceel leen lem aki picc [yu tuddu gëméen], neleen : - " Lekk leen ci lu sell lii ñu leen xéewale ! " - Ñoom daal seen bopp lañuy tooñ, waaye du ñun lañuy tooñ."
2,NAG WA,58,"[Fàttalikuleen it], ba ñu leen waxee ne : " Dugguleen ci dëkk bii, lekk ci fu leen neex cig yaatu ; te ngeen jàll buntu bi ànd ak toroxlu te nangeen ñaan Yàlla mu seppi seeni bàkkaar ; ñu jéggal leen seeni ñaawtéef, Danañu dolli way-rafetal ña aw yiw."
2,NAG WA,59,"Tooñkat ya weccee baat ya ñu leen waxoon, ak yeneeni baat yu wuuteek yooya, ñu daldi wàcce ca way-tooñ ña mbugal mu bawoo asamaan ngir lañu nekkoon di saay-saay [su génn diine]."
2,NAG WA,60,"Te [Fàttalikuleen], ba Muusaa di sàkkul aw nitam ndox, ba ñu waxee ne : " Dóoral xeer wi ak sa yat wi. " Fukki bëti ndox ak ñaar ballee na ca, giir gu nekk xam na fa muy naanee ! - " Lekkleen te naan ci xéewa li Yàlla yi ; te buleen dox ci suuf si di way-yàq "."
2,NAG WA,61,"Te [Fàttalikuleen], ba ngeen nee : " Yaw Muusaa, ñun mënatunoo muñ wenn ñam rekk. Ñaanal ñu sa Boroom luy sax ci suuf si ciy fuytéef, xaal, laaj, sëb ak soble ! " - Mu neleen : " Ndax dange en di weccee lu yées ak li gën ? Wàccleen ci menn réewu teeru ; dangeen fa am li ngeen di laaj ! ". Saddeef na leen toroxte ak ñàkk ; ñu sóobu ci merum Yàlla. Ndax lañu nekkoon di weddi kàdduy Yàlla ya, di rey Yonent ya ci ludul dëgg, ngir moy Yàlla ci lu jéggi dayo."
